name,                                                                                 tag,           code,       description
blake2s-224,                                                                          multihash,     0x00b25c,
blake2s-232,                                                                          multihash,     0x00b25d,
blake2s-240,                                                                          multihash,     0x00b25e,
blake2s-248,                                                                          multihash,     0x00b25f,
blake2s-256,                                                                          multihash,     0x00b260,
skein256-8,                                                                           multihash,     0x00b301,     Skein256 consists of 32 output lengths that give different hashes
skein256-16,                                                                          multihash,     0x00b302,
skein256-24,                                                                          multihash,     0x00b303,
skein256-32,                                                                          multihash,     0x00b304,
skein256-40,                                                                          multihash,     0x00b305,
skein256-48,                                                                          multihash,     0x00b306,
skein256-56,                                                                          multihash,     0x00b307,
skein256-64,                                                                          multihash,     0x00b308,
skein256-72,                                                                          multihash,     0x00b309,
skein256-80,                                                                          multihash,     0x00b30a,
skein256-88,                                                                          multihash,     0x00b30b,
skein256-96,                                                                          multihash,     0x00b30c,
skein256-104,                                                                         multihash,     0x00b30d,
skein256-112,                                                                         multihash,     0x00b30e,
skein256-120,                                                                         multihash,     0x00b30f,
skein256-128,                                                                         multihash,     0x00b310,
skein256-136,                                                                         multihash,     0x00b311,
skein256-144,                                                                         multihash,     0x00b312,
skein256-152,                                                                         multihash,     0x00b313,
skein256-160,                                                                         multihash,     0x00b314,
skein256-168,                                                                         multihash,     0x00b315,
skein256-176,                                                                         multihash,     0x00b316,
skein256-184,                                                                         multihash,     0x00b317,
skein256-192,                                                                         multihash,     0x00b318,
skein256-200,                                                                         multihash,     0x00b319,
skein256-208,                                                                         multihash,     0x00b31a,
skein256-216,                                                                         multihash,     0x00b31b,
skein256-224,                                                                         multihash,     0x00b31c,
skein256-232,                                                                         multihash,     0x00b31d,
skein256-240,                                                                         multihash,     0x00b31e,
skein256-248,                                                                         multihash,     0x00b31f,
skein256-256,                                                                         multihash,     0x00b320,
skein512-8,                                                                           multihash,     0x00b321,     Skein512 consists of 64 output lengths that give different hashes
skein512-16,                                                                          multihash,     0x00b322,
skein512-24,                                                                          multihash,     0x00b323,
skein512-32,                                                                          multihash,     0x00b324,
skein512-40,                                                                          multihash,     0x00b325,
skein512-48,                                                                          multihash,     0x00b326,
skein512-56,                                                                          multihash,     0x00b327,
skein512-64,                                                                          multihash,     0x00b328,
skein512-72,                                                                          multihash,     0x00b329,
skein512-80,                                                                          multihash,     0x00b32a,
skein512-88,                                                                          multihash,     0x00b32b,
skein512-96,                                                                          multihash,     0x00b32c,
skein512-104,                                                                         multihash,     0x00b32d,
skein512-112,                                                                         multihash,     0x00b32e,
skein512-120,                                                                         multihash,     0x00b32f,
skein512-128,                                                                         multihash,     0x00b330,
skein512-136,                                                                         multihash,     0x00b331,
skein512-144,                                                                         multihash,     0x00b332,
skein512-152,                                                                         multihash,     0x00b333,
skein512-160,                                                                         multihash,     0x00b334,
skein512-168,                                                                         multihash,     0x00b335,
skein512-176,                                                                         multihash,     0x00b336,
skein512-184,                                                                         multihash,     0x00b337,
skein512-192,                                                                         multihash,     0x00b338,
skein512-200,                                                                         multihash,     0x00b339,
skein512-208,                                                                         multihash,     0x00b33a,
skein512-216,                                                                         multihash,     0x00b33b,
skein512-224,                                                                         multihash,     0x00b33c,
skein512-232,                                                                         multihash,     0x00b33d,
skein512-240,                                                                         multihash,     0x00b33e,
skein512-248,                                                                         multihash,     0x00b33f,
skein512-256,                                                                         multihash,     0x00b340,
skein512-264,                                                                         multihash,     0x00b341,
skein512-272,                                                                         multihash,     0x00b342,
skein512-280,                                                                         multihash,     0x00b343,
skein512-288,                                                                         multihash,     0x00b344,
skein512-296,                                                                         multihash,     0x00b345,
skein512-304,                                                                         multihash,     0x00b346,
skein512-312,                                                                         multihash,     0x00b347,
skein512-320,                                                                         multihash,     0x00b348,
skein512-328,                                                                         multihash,     0x00b349,
skein512-336,                                                                         multihash,     0x00b34a,
skein512-344,                                                                         multihash,     0x00b34b,
skein512-352,                                                                         multihash,     0x00b34c,
skein512-360,                                                                         multihash,     0x00b34d,
skein512-368,                                                                         multihash,     0x00b34e,
skein512-376,                                                                         multihash,     0x00b34f,
skein512-384,                                                                         multihash,     0x00b350,
skein512-392,                                                                         multihash,     0x00b351,
skein512-400,                                                                         multihash,     0x00b352,
skein512-408,                                                                         multihash,     0x00b353,
skein512-416,                                                                         multihash,     0x00b354,
skein512-424,                                                                         multihash,     0x00b355,
skein512-432,                                                                         multihash,     0x00b356,
skein512-440,                                                                         multihash,     0x00b357,
skein512-448,                                                                         multihash,     0x00b358,
skein512-456,                                                                         multihash,     0x00b359,
skein512-464,                                                                         multihash,     0x00b35a,
skein512-472,                                                                         multihash,     0x00b35b,
skein512-480,                                                                         multihash,     0x00b35c,
skein512-488,                                                                         multihash,     0x00b35d,
skein512-496,                                                                         multihash,     0x00b35e,
skein512-504,                                                                         multihash,     0x00b35f,
skein512-512,                                                                         multihash,     0x00b360,
skein1024-8,                                                                          multihash,     0x00b361,     Skein1024 consists of 128 output lengths that give different hashes
skein1024-16,                                                                         multihash,     0x00b362,
skein1024-24,                                                                         multihash,     0x00b363,
skein1024-32,                                                                         multihash,     0x00b364,
skein1024-40,                                                                         multihash,     0x00b365,
skein1024-48,                                                                         multihash,     0x00b366,
skein1024-56,                                                                         multihash,     0x00b367,
skein1024-64,                                                                         multihash,     0x00b368,
skein1024-72,                                                                         multihash,     0x00b369,
skein1024-80,                                                                         multihash,     0x00b36a,
skein1024-88,                                                                         multihash,     0x00b36b,
skein1024-96,                                                                         multihash,     0x00b36c,
skein1024-104,                                                                        multihash,     0x00b36d,
skein1024-112,                                                                        multihash,     0x00b36e,
skein1024-120,                                                                        multihash,     0x00b36f,
skein1024-128,                                                                        multihash,     0x00b370,
skein1024-136,                                                                        multihash,     0x00b371,
skein1024-144,                                                                        multihash,     0x00b372,
skein1024-152,                                                                        multihash,     0x00b373,
skein1024-160,                                                                        multihash,     0x00b374,
skein1024-168,                                                                        multihash,     0x00b375,
skein1024-176,                                                                        multihash,     0x00b376,
skein1024-184,                                                                        multihash,     0x00b377,
skein1024-192,                                                                        multihash,     0x00b378,
skein1024-200,                                                                        multihash,     0x00b379,
skein1024-208,                                                                        multihash,     0x00b37a,
skein1024-216,                                                                        multihash,     0x00b37b,
skein1024-224,                                                                        multihash,     0x00b37c,
skein1024-232,                                                                        multihash,     0x00b37d,
skein1024-240,                                                                        multihash,     0x00b37e,
skein1024-248,                                                                        multihash,     0x00b37f,
skein1024-256,                                                                        multihash,     0x00b380,
skein1024-264,                                                                        multihash,     0x00b381,
skein1024-272,                                                                        multihash,     0x00b382,
skein1024-280,                                                                        multihash,     0x00b383,
skein1024-288,                                                                        multihash,     0x00b384,
skein1024-296,                                                                        multihash,     0x00b385,
skein1024-304,                                                                        multihash,     0x00b386,
skein1024-312,                                                                        multihash,     0x00b387,
skein1024-320,                                                                        multihash,     0x00b388,
skein1024-328,                                                                        multihash,     0x00b389,
skein1024-336,                                                                        multihash,     0x00b38a,
skein1024-344,                                                                        multihash,     0x00b38b,
skein1024-352,                                                                        multihash,     0x00b38c,
skein1024-360,                                                                        multihash,     0x00b38d,
skein1024-368,                                                                        multihash,     0x00b38e,
skein1024-376,                                                                        multihash,     0x00b38f,
skein1024-384,                                                                        multihash,     0x00b390,
skein1024-392,                                                                        multihash,     0x00b391,
skein1024-400,                                                                        multihash,     0x00b392,
skein1024-408,                                                                        multihash,     0x00b393,
skein1024-416,                                                                        multihash,     0x00b394,
skein1024-424,                                                                        multihash,     0x00b395,
skein1024-432,                                                                        multihash,     0x00b396,
skein1024-440,                                                                        multihash,     0x00b397,
skein1024-448,                                                                        multihash,     0x00b398,
skein1024-456,                                                                        multihash,     0x00b399,
skein1024-464,                                                                        multihash,     0x00b39a,
skein1024-472,                                                                        multihash,     0x00b39b,
